id,imdbid,bechdelRating,title,year,genres
1,844760,3,Starship Troopers 3: Marauder,2008,
2,91949,3,Short Circuit,1986,
3,910970,1,WALL-E,2008,
4,295178,1,Austin Powers in Goldmember,2002,
5,118655,2,Austin Powers: International Man of Mystery,1997,
6,145660,1,Austin Powers: The Spy Who Shagged Me,1999,
7,1028528,3,Death Proof,2007,
8,471711,2,Futurama: Bender's Big Score,2007,
9,467406,3,Juno,2007,
10,387808,1,Idiocracy,2006,
11,435705,2,Next,2007,
12,758771,1,Outlaw,2007,
13,78748,3,Alien,1979,
14,382932,1,Ratatouille,2007,
15,199753,0,Red Planet,2000,
16,293564,1,Rush Hour 3,2007,
17,432021,3,Resident Evil: Extinction,2007,
18,105236,0,Reservoir Dogs,1992,
19,200465,3,"Bank Job, The",2008,
20,476964,3,"Brave One, The",2007,
21,425357,3,"Pleasure Drivers, The",2005,
22,119116,1,"Fifth Element, The",1997,
23,448179,3,Wild Things: Diamonds in the Rough,2005,
25,756683,1,"Man from Earth, The",2007,
26,413267,3,Shrek the Third,2007,
27,477071,3,Premonition,2007,
28,489099,1,Jumper,2008,
29,1077258,3,Planet Terror,2007,
30,411061,1,88 Minutes,2007,
31,151804,1,Office Space,1999,
32,102926,3,"Silence of the Lambs, The",1991,
34,780536,1,In Bruges,2008,
35,120768,1,"Negotiator, The",1998,
36,133093,3,"Matrix, The",1999,
37,343818,1,"I, Robot",2004,
38,117500,1,"Rock, The",1996,
39,318997,3,Angels in America,2003,
40,372784,1,Batman Begins,2005,
41,257076,3,S.W.A.T.,2003,
42,120611,1,Blade,1998,
44,320691,3,Underworld,2003,
45,313542,1,Runaway Jury,2003,
47,478087,3,21,2008,
48,317740,1,"Italian Job, The",2003,
49,160399,0,Impostor,2001,
50,317705,3,"Incredibles, The",2004,
51,240772,1,Ocean&#39;s Eleven,2001,
52,209144,1,Memento,2000,
53,293662,0,"Transporter, The",2002,
54,114814,1,"Usual Suspects, The",1995,
55,292506,1,"Recruit, The",2003,
58,234215,3,"Matrix Reloaded, The",2003,
59,242653,3,"Matrix Revolutions, The",2003,
60,811138,1,"Love Guru, The",2008,
61,448157,0,Hancock,2008,
62,212720,1,Artificial Intelligence: AI,2001,
63,227984,0,"51st State, The",2001,
64,144084,1,American Psycho,2000,
65,490181,1,"Mutant Chronicles, The",2008,
66,468569,3,"Dark Knight, The",2008,
67,401792,3,Sin City,2005,
68,119174,1,"Game, The",1997,
