,Movie_title,Year,Genre,Average_Rating,Tomatometer,RT_link,Audience_Rating,RT_link,IMDb,IMDb_link,Letterboxd,LB_link,Metascore,Ms_link
0,The Godfather,1972,"Crime, Drama",96,98,https://www.rottentomatoes.com/m/godfather/,98,https://www.rottentomatoes.com/m/godfather/,92,https://www.imdb.com/title/tt0068646,91,https://flickmetrix.com/#,100,https://flickmetrix.com/#
1,12 Angry Men,1957,"Crime, Drama",94,100,https://www.rottentomatoes.com/search/?search=12%20Angry%20Men,97,https://www.rottentomatoes.com/search/?search=12%20Angry%20Men,89,https://www.imdb.com/title/tt0050083,90,https://flickmetrix.com/#,96,https://flickmetrix.com/#
2,Seven Samurai,1954,"Adventure, Drama",94,100,https://www.rottentomatoes.com/search/?search=Seven%20Samurai,97,https://www.rottentomatoes.com/search/?search=Seven%20Samurai,87,https://www.imdb.com/title/tt0047478,90,https://flickmetrix.com/#,98,https://flickmetrix.com/#
3,O.J.: Made in America,2016,"Documentary, Biography, Crime, History",94,100,https://www.rottentomatoes.com/m/oj_made_in_america/,97,https://www.rottentomatoes.com/m/oj_made_in_america/,90,https://www.imdb.com/title/tt5275892,89,https://flickmetrix.com/#,,https://flickmetrix.com/#
4,Rear Window,1954,"Mystery, Thriller",93,100,https://www.rottentomatoes.com/m/1017289_rear_window,95,https://www.rottentomatoes.com/m/1017289_rear_window,85,https://www.imdb.com/title/tt0047396,87,https://flickmetrix.com/#,100,https://flickmetrix.com/#
5,Schindler's List,1993,"Biography, Drama, History",93,97,https://www.rottentomatoes.com/search/?search=Schindler%27s%20List,97,https://www.rottentomatoes.com/search/?search=Schindler%27s%20List,89,https://www.imdb.com/title/tt0108052,88,https://flickmetrix.com/#,93,https://flickmetrix.com/#
6,The Godfather: Part II,1974,"Crime, Drama",93,97,https://www.rottentomatoes.com/m/godfather_part_ii/,97,https://www.rottentomatoes.com/m/godfather_part_ii/,90,https://www.imdb.com/title/tt0071562,90,https://flickmetrix.com/#,90,https://flickmetrix.com/#
7,Casablanca,1942,"Drama, Romance, War",93,97,https://www.rottentomatoes.com/search/?search=Casablanca,95,https://www.rottentomatoes.com/search/?search=Casablanca,85,https://www.imdb.com/title/tt0034583,86,https://flickmetrix.com/#,100,https://flickmetrix.com/#
8,Singin' in the Rain,1952,"Comedy, Musical, Romance",93,100,https://www.rottentomatoes.com/m/singin_in_the_rain/,95,https://www.rottentomatoes.com/m/singin_in_the_rain/,83,https://www.imdb.com/title/tt0045152,86,https://flickmetrix.com/#,99,https://flickmetrix.com/#
9,Spirited Away,2001,"Animation, Adventure, Family, Fantasy, Mystery",93,97,https://www.rottentomatoes.com/search/?search=Spirited%20Away,96,https://www.rottentomatoes.com/search/?search=Spirited%20Away,86,https://www.imdb.com/title/tt0245429,88,https://flickmetrix.com/#,96,https://flickmetrix.com/#
10,Spider-Man: Into the Spider-Verse,2018,"Animation, Action, Adventure, Sci-Fi",93,97,https://www.rottentomatoes.com/m/spider_man_into_the_spider_verse/,95,https://www.rottentomatoes.com/m/spider_man_into_the_spider_verse/,88,https://www.imdb.com/title/tt4633694,90,https://flickmetrix.com/#,,https://flickmetrix.com/#
11,Modern Times,1936,"Comedy, Drama, Family, Romance",92,100,https://www.rottentomatoes.com/m/modern_times/,95,https://www.rottentomatoes.com/m/modern_times/,85,https://www.imdb.com/title/tt0027977,85,https://flickmetrix.com/#,96,https://flickmetrix.com/#
12,Pulp Fiction,1994,"Crime, Drama",92,94,https://www.rottentomatoes.com/m/pulp_fiction/,96,https://www.rottentomatoes.com/m/pulp_fiction/,89,https://www.imdb.com/title/tt0110912,88,https://flickmetrix.com/#,94,https://flickmetrix.com/#
13,"The Good, the Bad and the Ugly",1966,Western,92,97,https://www.rottentomatoes.com/m/the_good_the_bad_and_the_ugly/,97,https://www.rottentomatoes.com/m/the_good_the_bad_and_the_ugly/,89,https://www.imdb.com/title/tt0060196,88,https://flickmetrix.com/#,90,https://flickmetrix.com/#
14,Lawrence of Arabia,1962,"Adventure, Biography, Drama, History, War",92,98,https://www.rottentomatoes.com/search/?search=Lawrence%20of%20Arabia,93,https://www.rottentomatoes.com/search/?search=Lawrence%20of%20Arabia,83,https://www.imdb.com/title/tt0056172,86,https://flickmetrix.com/#,100,https://flickmetrix.com/#
15,Psycho,1960,"Horror, Mystery, Thriller",92,97,https://www.rottentomatoes.com/m/psycho/,94,https://www.rottentomatoes.com/m/psycho/,85,https://www.imdb.com/title/tt0054215,87,https://flickmetrix.com/#,97,https://flickmetrix.com/#
16,All About Eve,1950,Drama,92,100,https://www.rottentomatoes.com/search/?search=All%20About%20Eve,94,https://www.rottentomatoes.com/search/?search=All%20About%20Eve,83,https://www.imdb.com/title/tt0042192,84,https://flickmetrix.com/#,98,https://flickmetrix.com/#
17,Citizen Kane,1941,"Drama, Mystery",92,100,https://www.rottentomatoes.com/m/citizen_kane/,90,https://www.rottentomatoes.com/m/citizen_kane/,84,https://www.imdb.com/title/tt0033467,85,https://flickmetrix.com/#,100,https://flickmetrix.com/#
18,Three Colors: Red,1994,"Drama, Mystery, Romance",92,100,https://www.rottentomatoes.com/search/?search=Three%20Colors:%20Red,94,https://www.rottentomatoes.com/search/?search=Three%20Colors:%20Red,81,https://www.imdb.com/title/tt0111495,84,https://flickmetrix.com/#,100,https://flickmetrix.com/#
19,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Comedy,92,99,https://www.rottentomatoes.com/m/dr_strangelove/,94,https://www.rottentomatoes.com/m/dr_strangelove/,84,https://www.imdb.com/title/tt0057012,85,https://flickmetrix.com/#,96,https://flickmetrix.com/#
20,Goodfellas,1990,"Crime, Drama",91,96,https://www.rottentomatoes.com/m/1032176-goodfellas/,97,https://www.rottentomatoes.com/m/1032176-goodfellas/,87,https://www.imdb.com/title/tt0099685,88,https://flickmetrix.com/#,89,https://flickmetrix.com/#
21,Hoop Dreams,1994,"Documentary, Drama, Sport",91,98,https://www.rottentomatoes.com/m/hoop_dreams/,93,https://www.rottentomatoes.com/m/hoop_dreams/,83,https://www.imdb.com/title/tt0110057,85,https://flickmetrix.com/#,98,https://flickmetrix.com/#
22,North by Northwest,1959,"Adventure, Mystery, Thriller",91,99,https://www.rottentomatoes.com/m/north-by-northwest,94,https://www.rottentomatoes.com/m/north-by-northwest,83,https://www.imdb.com/title/tt0053125,83,https://flickmetrix.com/#,98,https://flickmetrix.com/#
23,The Army of Shadows,1969,"Drama, War",91,97,https://www.rottentomatoes.com/search/?search=The%20Army%20of%20Shadows,94,https://www.rottentomatoes.com/search/?search=The%20Army%20of%20Shadows,82,https://www.imdb.com/title/tt0064040,85,https://flickmetrix.com/#,99,https://flickmetrix.com/#
24,Vertigo,1958,"Mystery, Romance, Thriller",91,96,https://www.rottentomatoes.com/m/vertigo/,93,https://www.rottentomatoes.com/m/vertigo/,83,https://www.imdb.com/title/tt0052357,85,https://flickmetrix.com/#,100,https://flickmetrix.com/#
25,Sunset Blvd.,1950,"Drama, Film-Noir",91,98,https://www.rottentomatoes.com/search/?search=Sunset%20Blvd.,95,https://www.rottentomatoes.com/search/?search=Sunset%20Blvd.,84,https://www.imdb.com/title/tt0043014,88,https://flickmetrix.com/#,,https://flickmetrix.com/#
26,Apocalypse Now,1979,"Drama, War",91,96,https://www.rottentomatoes.com/m/apocalypse_now/,94,https://www.rottentomatoes.com/m/apocalypse_now/,85,https://www.imdb.com/title/tt0078788,87,https://flickmetrix.com/#,94,https://flickmetrix.com/#
27,Metropolis,1927,"Drama, Sci-Fi",91,99,https://www.rottentomatoes.com/m/1013775_metropolis?,92,https://www.rottentomatoes.com/m/1013775_metropolis?,83,https://www.imdb.com/title/tt0017136,84,https://flickmetrix.com/#,98,https://flickmetrix.com/#
28,The Third Man,1949,"Film-Noir, Mystery, Thriller",91,99,https://www.rottentomatoes.com/m/the_third_man/,93,https://www.rottentomatoes.com/m/the_third_man/,82,https://www.imdb.com/title/tt0041959,85,https://flickmetrix.com/#,97,https://flickmetrix.com/#
29,M,1931,"Crime, Mystery, Thriller",91,100,https://www.rottentomatoes.com/m/1012928_m,95,https://www.rottentomatoes.com/m/1012928_m,83,https://www.imdb.com/title/tt0022100,86,https://flickmetrix.com/#,,https://flickmetrix.com/#
30,Minding the Gap,2018,Documentary,91,100,https://www.rottentomatoes.com/m/minding_the_gap/,96,https://www.rottentomatoes.com/m/minding_the_gap/,82,https://www.imdb.com/title/tt7476236,84,https://flickmetrix.com/#,93,https://flickmetrix.com/#
31,Ran,1985,"Action, Drama",91,96,https://www.rottentomatoes.com/m/ran/,95,https://www.rottentomatoes.com/m/ran/,82,https://www.imdb.com/title/tt0089881,86,https://flickmetrix.com/#,96,https://flickmetrix.com/#
32,The Battle of Algiers,1966,"Drama, War",91,99,https://www.rottentomatoes.com/search/?search=The%20Battle%20of%20Algiers,95,https://www.rottentomatoes.com/search/?search=The%20Battle%20of%20Algiers,81,https://www.imdb.com/title/tt0058946,85,https://flickmetrix.com/#,95,https://flickmetrix.com/#
33,Toy Story,1995,"Animation, Adventure, Comedy, Family, Fantasy",91,100,https://www.rottentomatoes.com/m/toy_story/,92,https://www.rottentomatoes.com/m/toy_story/,83,https://www.imdb.com/title/tt0114709,85,https://flickmetrix.com/#,95,https://flickmetrix.com/#
34,A Separation,2011,"Crime, Drama, Family, Mystery",91,99,https://www.rottentomatoes.com/m/a_separation_2011/,92,https://www.rottentomatoes.com/m/a_separation_2011/,83,https://www.imdb.com/title/tt1832382,85,https://flickmetrix.com/#,95,https://flickmetrix.com/#
35,Taxi Driver,1976,"Crime, Drama",91,98,https://www.rottentomatoes.com/m/taxi_driver/,93,https://www.rottentomatoes.com/m/taxi_driver/,83,https://www.imdb.com/title/tt0075314,86,https://flickmetrix.com/#,94,https://flickmetrix.com/#
36,Double Indemnity,1944,"Crime, Drama, Film-Noir, Mystery, Thriller",91,96,https://www.rottentomatoes.com/m/double_indemnity/,95,https://www.rottentomatoes.com/m/double_indemnity/,83,https://www.imdb.com/title/tt0036775,84,https://flickmetrix.com/#,95,https://flickmetrix.com/#
37,Some Like It Hot,1959,"Comedy, Romance",90,96,https://www.rottentomatoes.com/m/some_like_it_hot/,94,https://www.rottentomatoes.com/m/some_like_it_hot/,82,https://www.imdb.com/title/tt0053291,83,https://flickmetrix.com/#,97,https://flickmetrix.com/#
38,The Conformist,1970,Drama,90,98,https://www.rottentomatoes.com/m/the_conformist/,91,https://www.rottentomatoes.com/m/the_conformist/,81,https://www.imdb.com/title/tt0065571,82,https://flickmetrix.com/#,100,https://flickmetrix.com/#
39,The Lord of the Rings: The Fellowship of the Ring,2001,"Adventure, Drama, Fantasy",90,91,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_fellowship_of_the_ring/,95,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_fellowship_of_the_ring/,88,https://www.imdb.com/title/tt0120737,86,https://flickmetrix.com/#,92,https://flickmetrix.com/#
