,country,num_critic_for_reviews,gross,num_voted_users,num_user_for_reviews,title_year,imdb_score,CountryCode,ContinentCode,CenterLongitude,CenterLatitude
0,Afghanistan,105.0,1127331.0,7559,77.0,2003.0,7.4,AF,AS,65.0,33.0
1,Argentina,459.0,21692809.0,173538,404.0,8017.0,30.0,AR,SA,-64.0,-34.0
2,Aruba,67.0,10076136.0,11512,141.0,1998.0,4.8,AW,NA,-69.97,12.5
3,Australia,7408.0,1688648202.0,3665522,13126.0,106144.0,358.30000000000007,AU,OC,135.0,-25.0
4,Bahamas,64.0,0.0,6964,47.0,2014.0,4.4,BS,NA,-76.0,24.0
5,Belgium,247.0,1361133.0,62518,171.0,8054.0,22.4,BE,EU,4.0,50.83
6,Brazil,660.0,13562870.0,657290,1202.0,16037.0,58.199999999999996,BR,SA,-55.0,-10.0
7,Bulgaria,136.0,0.0,41638,134.0,2014.0,6.1,BG,EU,25.0,43.0
8,Cambodia,17.0,0.0,1933,13.0,2014.0,5.6,KH,AS,105.0,13.0
9,Cameroon,27.0,32631.0,291,8.0,2005.0,7.5,CM,AF,12.0,6.0
10,Canada,11441.0,1615108801.0,3915181,20741.0,244621.0,776.4000000000001,CA,NA,-96.0,60.0
11,Chile,120.0,12188642.0,21098,56.0,2015.0,6.9,CL,SA,-71.0,-30.0
12,China,2996.0,268717774.0,960468,3946.0,60275.0,198.69999999999996,CN,AS,105.0,35.0
13,Colombia,155.0,6517198.0,30474,172.0,2004.0,7.5,CO,SA,-72.0,4.0
14,Czech Republic,402.0,3884316.0,76741,528.0,6020.0,20.9,CZ,EU,15.0,49.75
15,Denmark,1872.0,12766222.0,584990,2513.0,22021.0,78.89999999999999,DK,EU,10.0,56.0
16,Dominican Republic,1.0,0.0,197,1.0,2012.0,6.9,DO,NA,-70.67,19.0
17,Egypt,68.0,0.0,6678,42.0,2013.0,8.1,EG,AF,30.0,27.0
18,Finland,205.0,611709.0,15267,41.0,2011.0,7.2,FI,EU,26.0,64.0
19,France,20627.0,1978421823.0,8043564,29059.0,304746.0,1028.5,FR,EU,2.0,46.0
20,Georgia,74.0,17149.0,12128,61.0,2011.0,5.6,GE,AS,43.5,42.0
21,Germany,13852.0,2474036368.0,7912640,31170.0,200264.0,636.7999999999996,DE,EU,10.5,51.5
22,Greece,474.0,3817991.0,76223,326.0,4025.0,14.0,GR,EU,22.0,39.0
23,Hong Kong,2341.0,180171739.0,532681,2004.0,34093.0,114.6,HK,AS,114.17,22.25
24,Hungary,167.0,23375191.0,38554,89.0,4016.0,12.899999999999999,HU,EU,20.0,47.0
25,Iceland,143.0,31794.0,7807,40.0,4022.0,22.0,IS,EU,-18.0,65.0
26,India,1091.0,50811269.0,518283,3088.0,68287.0,222.10000000000005,IN,AS,77.0,20.0
27,Indonesia,481.0,4105123.0,148221,316.0,2011.0,7.6,ID,AS,120.0,-5.0
28,Iran,466.0,9697674.0,184773,428.0,7986.0,30.9,IR,AS,53.0,32.0
29,Ireland,2050.0,70336300.0,492481,1818.0,24103.0,81.4,IE,EU,-8.0,53.0
30,Israel,410.0,4881952.0,55542,215.0,8041.0,30.099999999999998,IL,AS,34.75,31.5
31,Italy,1996.0,37897079.0,1333190,3381.0,43847.0,158.09999999999997,IT,EU,12.83,42.83
32,Japan,2574.0,570412925.0,1632946,4812.0,44011.0,159.89999999999998,JP,AS,138.0,36.0
33,Kenya,6.0,0.0,70,1.0,2014.0,7.4,KE,AF,38.0,1.0
34,Kyrgyzstan,16.0,0.0,3144,24.0,2014.0,8.7,KG,AS,75.0,41.0
35,Libya,24.0,0.0,9852,55.0,1980.0,8.4,LY,AF,17.0,25.0
36,Mexico,1155.0,104616255.0,403333,1848.0,34165.0,115.2,MX,NA,-102.0,23.0
37,Netherlands,474.0,5654665.0,109593,437.0,9992.0,34.7,NL,EU,5.75,52.5
38,New Line,62.0,6712451.0,4102,89.0,2001.0,4.4,,,,
39,New Zealand,2855.0,1298160522.0,2787712,15066.0,30092.0,109.19999999999999,NZ,OC,174.0,-42.0
40,Nigeria,6.0,0.0,385,4.0,2012.0,5.6,NG,AF,8.0,10.0
41,Norway,1042.0,1804549.0,224856,724.0,14049.0,53.9,NO,EU,10.0,62.0
42,Official site,135.0,20218921.0,14814,114.0,2010.0,6.3,,,,
43,Pakistan,6.0,0.0,876,15.0,2015.0,7.0,PK,AS,70.0,30.0
44,Panama,0.0,0.0,178,1.0,2016.0,7.2,PA,NA,-80.0,9.0
45,Peru,38.0,57362581.0,50148,116.0,1994.0,5.4,PE,SA,-76.0,-10.0
46,Philippines,35.0,70071.0,589,35.0,2005.0,6.3,PH,AS,122.0,13.0
47,Poland,401.0,5699549.0,64152,289.0,4019.0,38.1,PL,EU,20.0,52.0
48,Romania,404.0,18201973.0,76590,400.0,8040.0,26.4,RO,EU,25.0,46.0
49,Russia,1098.0,14959807.0,244632,1141.0,24085.0,75.0,RU,EU,47.0,60.0
50,Slovakia,25.0,0.0,3425,32.0,2008.0,6.0,SK,EU,19.5,48.67
51,Slovenia,2.0,0.0,86,2.0,2015.0,6.4,SI,EU,15.17,46.25
52,South Africa,803.0,160740241.0,640269,1634.0,16087.0,51.5,ZA,AF,26.0,-30.0
53,South Korea,1848.0,22318331.0,749632,2497.0,28095.0,87.60000000000001,KR,AS,127.0,37.0
54,Spain,5387.0,229749472.0,2468766,6474.0,66253.0,225.19999999999993,ES,EU,-4.0,40.0
55,Sweden,346.0,380435.0,100790,576.0,9995.0,45.099999999999994,SE,EU,15.0,62.0
56,Switzerland,206.0,0.0,31203,148.0,6014.0,17.7,CH,EU,8.0,47.0
57,Taiwan,492.0,128681364.0,227167,1728.0,4015.0,14.3,TW,AS,121.0,23.5
58,Thailand,329.0,13011623.0,62952,387.0,10041.0,30.400000000000002,TH,AS,100.0,15.0
59,Turkey,16.0,0.0,14486,159.0,2006.0,6.0,TR,AS,35.0,39.0
60,UK,68545.0,11808199558.0,35753643,123036.0,868617.0,3054.5999999999995,GB,EU,-4.5,54.0
61,USA,541011.0,178619254385.0,346638834,1092555.0,7473761.0,24240.800000000003,US,NA,-98.0,38.0
62,United Arab Emirates,0.0,0.0,18,0.0,2013.0,8.2,AE,AS,54.0,24.0
