Year,BOM_id,Movie,W_01,W_02,W_03,W_04,W_05,W_06,W_07,W_08,W_09,W_10,W_11,W_12,W_13,W_14,W_15,W_16,W_17,W_18,W_19,W_20,W_21,W_22,W_23,W_24,W_25,W_26,W_27,W_28,W_29,W_30,W_31,W_32,W_33,W_34,W_35,W_36,W_37,W_38,W_39,W_40,W_41,W_42,W_43,W_44,W_45,W_46,W_47,W_48,W_49,W_50,W_51,W_52,T_01,T_02,T_03,T_04,T_05,T_06,T_07,T_08,T_09,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_36,T_37,T_38,T_39,T_40,T_41,T_42,T_43,T_44,T_45,T_46,T_47,T_48,T_49,T_50,T_51,T_52
16,starwars2016,Rogue One: A Star Wars Story,221999674,153379031,79922649,29790380,20073829,9760010,6783939,3957456,2144500,1209076,584248,303608,337132,621967,604997,332379,198072,88962,50995,34420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221999674,375378705,455301354,485091734,505165563,514925573,521709512,525666968,527811468,529020544,529604792,529908400,530245532,530867499,531472496,531804875,532002947,532091909,532142904,532177324,532177324,532177324,532177324,532177324,532177324,532177324,532177324,532177324,532177324,532177324,532177324,532177324,532177324,532177324,532177324,532177324,532177324,532177324,532177324,532177324,532177324,532177324,532177324,532177324,532177324,532177324,532177324,532177324,532177324,532177324,532177324,532177324
16,marvel2016,Captain America: Civil War,223329078,90947075,43199796,23873208,11207990,6423822,3507761,2159658,1284776,461030,292151,178878,124873,338687,288182,130199,121770,166209,32380,16826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223329078,314276153,357475948,381349157,392557148,398980969,402488730,404648388,405933164,406394194,406686345,406865223,406990096,407328783,407616965,407747164,407868934,408035143,408067523,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349
16,junglebook2015,The Jungle Book (2016),130674426,78982374,53455465,30883845,22484455,15031344,11710752,6706028,4491962,2363140,2050807,1076285,424480,894534,681012,517355,372302,291457,182026,421393,186315,65427,35423,18516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130674426,209656800,263112265,293996110,316480565,331511909,343222661,349928689,354420651,356783791,358834598,359910883,360335363,361229897,361910909,362428264,362800566,363092023,363274049,363695442,363881757,363947184,363982606,364001123,364001123,364001123,364001123,364001123,364001123,364001123,364001123,364001123,364001123,364001123,364001123,364001123,364001123,364001123,364001123,364001123,364001123,364001123,364001123,364001123,364001123,364001123,364001123,364001123,364001123,364001123,364001123,364001123
16,disney2016,Zootopia,92615126,71150371,53643912,38529901,25720172,17584274,10580850,8687883,6435501,4066449,3686089,2343117,1386037,1211837,917970,1529653,462677,303428,217299,124232,60416,11054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92615126,163765497,217409409,255939310,281659482,299243756,309824606,318512489,324947990,329014439,332700528,335043645,336429682,337641519,338559489,340089142,340551819,340855247,341072546,341196778,341257194,341268248,341268248,341268248,341268248,341268248,341268248,341268248,341268248,341268248,341268248,341268248,341268248,341268248,341268248,341268248,341268248,341268248,341268248,341268248,341268248,341268248,341268248,341268248,341268248,341268248,341268248,341268248,341268248,341268248,341268248,341268248
16,dc2016,Suicide Squad,179104728,62468607,29199292,16644689,14340537,7314479,5951011,3917286,2483295,1536755,925284,504589,384864,324638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179104728,241573335,270772627,287417316,301757853,309072332,315023343,318940629,321423924,322960679,323885963,324390552,324775416,325100054,325100054,325100054,325100054,325100054,325100054,325100054,325100054,325100054,325100054,325100054,325100054,325100054,325100054,325100054,325100054,325100054,325100054,325100054,325100054,325100054,325100054,325100054,325100054,325100054,325100054,325100054,325100054,325100054,325100054,325100054,325100054,325100054,325100054,325100054,325100054,325100054,325100054,325100054
16,disney1116,Moana,25448873,66066457,34651263,24028152,22837446,26026848,19922143,8324943,6968577,3415894,3068919,1695351,1000096,1744960,1052480,803830,645466,457657,288422,154507,86830,45207,22723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25448873,91515330,126166593,150194745,173032191,199059039,218981182,227306125,234274702,237690596,240759515,242454866,243454962,245199922,246252402,247056232,247701698,248159355,248447777,248602284,248689114,248734321,248757044,248757044,248757044,248757044,248757044,248757044,248757044,248757044,248757044,248757044,248757044,248757044,248757044,248757044,248757044,248757044,248757044,248757044,248757044,248757044,248757044,248757044,248757044,248757044,248757044,248757044,248757044,248757044,248757044,248757044
16,marvel716,Doctor Strange,109982169,53884708,28174050,16782250,8908269,6318581,3568939,1842344,1129608,444490,309972,185753,141910,325763,259585,186635,106892,60602,29400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109982169,163866877,192040927,208823177,217731446,224050027,227618966,229461310,230590918,231035408,231345380,231531133,231673043,231998806,232258391,232445026,232551918,232612520,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920
16,bourne5,Jason Bourne,80706020,32456325,19740940,11223950,7043420,5810635,2328625,1464625,715960,294095,187810,116090,104425,84790,72600,47540,19710,7865,4970,2620,1395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80706020,113162345,132903285,144127235,151170655,156981290,159309915,160774540,161490500,161784595,161972405,162088495,162192920,162277710,162350310,162397850,162417560,162425425,162430395,162433015,162434410,162434410,162434410,162434410,162434410,162434410,162434410,162434410,162434410,162434410,162434410,162434410,162434410,162434410,162434410,162434410,162434410,162434410,162434410,162434410,162434410,162434410,162434410,162434410,162434410,162434410,162434410,162434410,162434410,162434410,162434410,162434410
16,x-men2016,X-Men: Apocalypse,94173232,32200963,14473641,7804155,3945464,1492022,618612,441421,292979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94173232,126374195,140847836,148651991,152597455,154089477,154708089,155149510,155442489,155442489,155442489,155442489,155442489,155442489,155442489,155442489,155442489,155442489,155442489,155442489,155442489,155442489,155442489,155442489,155442489,155442489,155442489,155442489,155442489,155442489,155442489,155442489,155442489,155442489,155442489,155442489,155442489,155442489,155442489,155442489,155442489,155442489,155442489,155442489,155442489,155442489,155442489,155442489,155442489,155442489,155442489,155442489
16,lalaland,La La Land,1240166,6642545,16832488,16941388,17924982,21748928,13128875,16397552,10153421,7993721,7255999,6449297,3966227,2558595,799503,292904,197465,256782,178692,142273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1240166,7882711,24715199,41656587,59581569,81330497,94459372,110856924,121010345,129004066,136260065,142709362,146675589,149234184,150033687,150326591,150524056,150780838,150959530,151101803,151101803,151101803,151101803,151101803,151101803,151101803,151101803,151101803,151101803,151101803,151101803,151101803,151101803,151101803,151101803,151101803,151101803,151101803,151101803,151101803,151101803,151101803,151101803,151101803,151101803,151101803,151101803,151101803,151101803,151101803,151101803,151101803
