Year,BOM_id,Movie,W_01,W_02,W_03,W_04,W_05,W_06,W_07,W_08,W_09,W_10,W_11,W_12,W_13,W_14,W_15,W_16,W_17,W_18,W_19,W_20,W_21,W_22,W_23,W_24,W_25,W_26,W_27,W_28,W_29,W_30,W_31,W_32,W_33,W_34,W_35,W_36,W_37,W_38,W_39,W_40,W_41,W_42,W_43,W_44,W_45,W_46,W_47,W_48,W_49,W_50,W_51,W_52,T_01,T_02,T_03,T_04,T_05,T_06,T_07,T_08,T_09,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_36,T_37,T_38,T_39,T_40,T_41,T_42,T_43,T_44,T_45,T_46,T_47,T_48,T_49,T_50,T_51,T_52
18,marvel2017b,Black Panther,291954422,143445615,85479564,57496927,35881708,25178398,17489106,11529782,7986587,7186380,6352126,4273996,2707174,1174457,746707,368118,217287,203114,113230,60009,42286,19869,45572,16592,90540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291954422,435400037,520879601,578376528,614258236,639436634,656925740,668455522,676442109,683628489,689980615,694254611,696961785,698136242,698882949,699251067,699468354,699671468,699784698,699844707,699886993,699906862,699952434,699969026,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566
18,avengers11,Marvel's The Avengers,270019373,132002042,74663373,55779192,28586745,16838179,13358877,10835292,6876687,3301972,2176282,1045837,867571,669671,425330,238688,164782,2778553,994773,798623,587430,348638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270019373,402021415,476684788,532463980,561050725,577888904,591247781,602083073,608959760,612261732,614438014,615483851,616351422,617021093,617446423,617685111,617849893,620628446,621623219,622421842,623009272,623357910,623357910,623357910,623357910,623357910,623357910,623357910,623357910,623357910,623357910,623357910,623357910,623357910,623357910,623357910,623357910,623357910,623357910,623357910,623357910,623357910,623357910,623357910,623357910,623357910,623357910,623357910,623357910,623357910,623357910,623357910
18,ironman3,Iron Man 3,212421084,89470799,46190641,28662761,11784380,8172574,4242983,3086834,1897263,680369,380176,252088,194834,353562,90642,470952,291981,269113,100958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212421084,301891883,348082524,376745285,388529665,396702239,400945222,404032056,405929319,406609688,406989864,407241952,407436786,407790348,407880990,408351942,408643923,408913036,409013994,409013994,409013994,409013994,409013994,409013994,409013994,409013994,409013994,409013994,409013994,409013994,409013994,409013994,409013994,409013994,409013994,409013994,409013994,409013994,409013994,409013994,409013994,409013994,409013994,409013994,409013994,409013994,409013994,409013994,409013994,409013994,409013994,409013994
18,marvel17a,Guardians of the Galaxy Vol. 2,183157419,83580055,46578453,32425405,14377840,9751843,7342312,4630648,2856031,1362384,833112,591905,458028,676513,385447,260873,160937,277709,70950,35237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183157419,266737474,313315927,345741332,360119172,369871015,377213327,381843975,384700006,386062390,386895502,387487407,387945435,388621948,389007395,389268268,389429205,389706914,389777864,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101
18,marvel2014a,Guardians of the Galaxy,134390839,63154982,36708036,24043411,26110586,13476978,10604199,6914244,4923129,3943500,2562827,1262858,730948,762562,605255,376429,822661,565940,349892,243069,196899,216281,114446,65183,31446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134390839,197545821,234253857,258297268,284407854,297884832,308489031,315403275,320326404,324269904,326832731,328095589,328826537,329589099,330194354,330570783,331393444,331959384,332309276,332552345,332749244,332965525,333079971,333145154,333176600,333176600,333176600,333176600,333176600,333176600,333176600,333176600,333176600,333176600,333176600,333176600,333176600,333176600,333176600,333176600,333176600,333176600,333176600,333176600,333176600,333176600,333176600,333176600,333176600,333176600,333176600,333176600
18,marvel2017,Thor: Ragnarok,154989707,70606463,35191107,20960322,13117465,8529056,4896638,2079481,1574547,696534,557211,314478,238264,339952,306899,276878,172243,145858,65186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154989707,225596170,260787277,281747599,294865064,303394120,308290758,310370239,311944786,312641320,313198531,313513009,313751273,314091225,314398124,314675002,314847245,314993103,315058289,315058289,315058289,315058289,315058289,315058289,315058289,315058289,315058289,315058289,315058289,315058289,315058289,315058289,315058289,315058289,315058289,315058289,315058289,315058289,315058289,315058289,315058289,315058289,315058289,315058289,315058289,315058289,315058289,315058289,315058289,315058289,315058289,315058289
18,marvel14b,Captain America: The Winter Soldier,117608171,57306283,33925762,20540995,9996534,7490501,4972752,2708286,897820,612521,433857,328495,687914,534863,365227,302291,211662,621933,163033,57672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117608171,174914454,208840216,229381211,239377745,246868246,251840998,254549284,255447104,256059625,256493482,256821977,257509891,258044754,258409981,258712272,258923934,259545867,259708900,259766572,259766572,259766572,259766572,259766572,259766572,259766572,259766572,259766572,259766572,259766572,259766572,259766572,259766572,259766572,259766572,259766572,259766572,259766572,259766572,259766572,259766572,259766572,259766572,259766572,259766572,259766572,259766572,259766572,259766572,259766572,259766572,259766572
18,ant-manandthewasp,Ant-Man and the Wasp,103985225,44513067,26225835,14557308,10188909,6275306,3921049,2493759,2042743,814590,520415,352666,345954,193114,120289,64795,33716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103985225,148498292,174724127,189281435,199470344,205745650,209666699,212160458,214203201,215017791,215538206,215890872,216236826,216429940,216550229,216615024,216648740,216648740,216648740,216648740,216648740,216648740,216648740,216648740,216648740,216648740,216648740,216648740,216648740,216648740,216648740,216648740,216648740,216648740,216648740,216648740,216648740,216648740,216648740,216648740,216648740,216648740,216648740,216648740,216648740,216648740,216648740,216648740,216648740,216648740,216648740,216648740
18,thor,Thor,84752317,45153838,20453148,14513601,6356604,3736494,1746062,805216,649383,948344,678181,580076,343283,181245,86616,46216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84752317,129906155,150359303,164872904,171229508,174966002,176712064,177517280,178166663,179115007,179793188,180373264,180716547,180897792,180984408,181030624,181030624,181030624,181030624,181030624,181030624,181030624,181030624,181030624,181030624,181030624,181030624,181030624,181030624,181030624,181030624,181030624,181030624,181030624,181030624,181030624,181030624,181030624,181030624,181030624,181030624,181030624,181030624,181030624,181030624,181030624,181030624,181030624,181030624,181030624,181030624,181030624
18,captainamerica,Captain America: The First Avenger,91867268,38314777,19578161,10871908,5889754,3177306,2914836,1123564,753359,403278,599889,446433,322119,210095,107258,74500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91867268,130182045,149760206,160632114,166521868,169699174,172614010,173737574,174490933,174894211,175494100,175940533,176262652,176472747,176580005,176654505,176654505,176654505,176654505,176654505,176654505,176654505,176654505,176654505,176654505,176654505,176654505,176654505,176654505,176654505,176654505,176654505,176654505,176654505,176654505,176654505,176654505,176654505,176654505,176654505,176654505,176654505,176654505,176654505,176654505,176654505,176654505,176654505,176654505,176654505,176654505,176654505
